BeeID,order,Treatment,Mstarved,M2,MF,Itspan,S,MetR,amp,wingLen,MT,load,perLoad,freq_audio,freq_video
E01,2,H,0.1577,0.2634,0.2559,0.00464,6.46E-05,12.54241162,128.7144749,0.011168431,0.25965,0.10195,64.64806595,189.5479704,184.9315068
E03,1,H,0.1732,0.3106,0.3079,0.00487,6.92E-05,11.78386549,144.7784118,0.01144364,0.30925,0.13605,78.55080831,177.275144,176.4705882
E05,2,H,0.1755,0.2776,0.2742,0.00497,7.06E-05,12.20102461,125.6777813,0.011687302,0.2759,0.1004,57.20797721,178.841376,173.0769231
E09,1,H,0.1135,0.2282,0.2084,0.0044,4.88E-05,9.471140466,139.3245994,0.00986884,0.2183,0.1048,92.33480176,195.8515661,194.2446043
E10,1,H,0.1269,0.2166,0.2099,0.00462,5.91E-05,11.03371339,128.8256708,0.01060036,0.21325,0.08635,68.04570528,189.1256063,188.8111888
E11,1,H,0.135,0.2223,0.2179,0.00464,5.88E-05,10.23580146,128.791592,0.010700182,0.2201,0.0851,63.03703704,186.1540625,183.6734694
E12,2,H,0.1363,0.2523,0.2438,0.00443,5.97E-05,11.42512543,130.3308945,0.010789615,0.24805,0.11175,81.98826119,185.9807099,184.9315068
E16,1,H,0.1694,0.3153,0.3024,0.00501,6.90E-05,14.25962695,133.5967582,0.011993347,0.30885,0.13945,82.31995277,176.1409125,175.3246753
E20,2,H,0.1886,0.3333,0.3102,0.00518,7.37E-05,14.37654028,131.3645447,0.012020423,0.32175,0.13315,70.59915164,175.2132813,169.8113208
E24,1,H,0.167,0.326,0.3143,0.00501,6.36E-05,15.71992526,137.7142853,0.011437341,0.32015,0.15315,91.70658683,174.0805306,167.7018634
E26,2,H,0.1384,0.2704,0.2639,0.00463,6.16E-05,10.37357413,135.4562966,0.010895406,0.26715,0.12875,93.02745665,176.4361801,171.9745223
E28,2,H,0.1472,0.2673,0.2599,0.00478,6.37E-05,14.32692942,132.4388441,0.011276051,0.2636,0.1164,79.07608696,184.6374444,180
E30,1,H,0.1317,0.2645,0.2568,0.0046,5.93E-05,10.93874407,141.7296912,0.011073511,0.26065,0.12895,97.91192103,177.7321875,178.807947
E31,1,H,0.1395,0.2739,0.2711,0.00447,6.75E-05,11.85921819,133.5452939,0.011613312,0.2725,0.133,95.34050179,177.2973251,176.4705882
E32,1,H,0.1008,0.1757,0.1709,0.00408,4.99E-05,7.463765503,133.6625302,0.00971362,0.1733,0.0725,71.92460317,191.6938074,184.9315068
E33,1,H,0.1213,0.2265,0.216,0.00412,5.49E-05,13.07916666,128.1947081,0.010263607,0.22125,0.09995,82.39901072,191.821893,187.5
E35,2,H,0.1565,0.2542,0.2469,0.00462,6.10E-05,11.42350911,128.6143253,0.011058144,0.25055,0.09405,60.09584665,188.2730338,183.6734694
E36,2,H,0.1147,0.232,0.2282,0.00443,5.97E-05,7.814131388,136.8141307,0.010571556,0.2301,0.1154,100.6102877,175.6236626,168.75
E37,2,H,0.0931,0.1751,0.1694,0.0041,4.82E-05,6.527323501,134.2865533,0.009637573,0.17225,0.07915,85.01611171,186.2477561,180
E39,1,H,0.148,0.3226,0.2951,0.00441,6.37E-05,15.09812274,140.1594124,0.011240465,0.30885,0.16085,108.6824324,185.5732167,184.9315068
E41,2,H,0.1258,0.265,0.261,0.00425,5.55E-05,10.00993027,138.7676919,0.010386695,0.263,0.1372,109.0620032,192.5699419,188.8111888
E42,2,H,0.1371,0.2945,0.2761,0.00486,6.27E-05,12.28439942,138.0041901,0.010976483,0.2853,0.1482,108.0962801,177.8385747,170.8860759
E44,2,H,0.12,0.2196,0.2123,0.0042,5.53E-05,10.18861441,130.5147229,0.010263607,0.21595,0.09595,79.95833333,188.5351563,182.4324324
E45,2,H,0.1776,0.3175,0.3065,0.00503,7.45E-05,13.63646655,116.7439037,0.011731269,0.312,0.1344,75.67567568,177.8599177,175.3246753
E49,2,H,0.1182,0.2243,0.2125,0.00412,5.59E-05,11.12909466,129.3365189,0.010660253,0.2184,0.1002,84.7715736,187.1418889,181.2080537
E50,2,H,0.1392,0.289,0.271,0.00462,6.20E-05,11.5187044,135.6561536,0.011113389,0.28,0.1408,101.1494253,176.52789,178.807947
E53,1,H,0.1909,0.355,0.344,0.00518,7.32E-05,16.47543589,135.9585219,0.012118467,0.3495,0.1586,83.08014667,174.4714792,169.8113208
E54,1,H,0.1274,0.2396,0.2257,0.00459,5.83E-05,10.9994655,136.7220288,0.01057021,0.23265,0.10525,82.61381476,190.7575955,190.1408451
E56,1,H,0.0767,0.1589,0.1554,0.00386,4.01E-05,8.450067154,135.2238224,0.008691296,0.15715,0.08045,104.8891786,198.9157552,204.5454545
E59,2,H,0.1868,0.3287,0.3152,0.0051,7.81E-05,15.01471691,132.5458917,0.011769344,0.32195,0.13515,72.35010707,167.1726336,161.6766467
E01,1,L,0.1577,0.1895,0.1812,0.00464,6.46E-05,10.3934827,111.4987519,0.011168431,0.18535,0.02765,17.53329106,177.2949306,181.2080537
E03,2,L,0.1732,0.2105,0.2023,0.00487,6.92E-05,9.214622037,119.9895258,0.01144364,0.2064,0.0332,19.16859122,166.9606944,168.75
E05,1,L,0.1755,0.2006,0.1975,0.00497,7.06E-05,8.981411509,116.2205303,0.011687302,0.19905,0.02355,13.41880342,166.5706659,159.7633136
E09,2,L,0.1135,0.1425,0.139,0.0044,4.88E-05,7.581104246,103.3070312,0.00986884,0.14075,0.02725,24.00881057,194.3335296,181.2080537
E10,2,L,0.1269,0.146,0.1422,0.00462,5.91E-05,7.159839989,96.8800337,0.01060036,0.1441,0.0172,13.55397951,168.77658,154.2857143
E11,2,L,0.135,0.1599,0.1579,0.00464,5.88E-05,6.806695718,116.1826202,0.010700182,0.1589,0.0239,17.7037037,169.4096022,167.7018634
E12,1,L,0.1363,0.1806,0.1656,0.00443,5.97E-05,10.3360284,110.5175964,0.010789615,0.1731,0.0368,26.99926632,187.5616712,182.4324324
E16,2,L,0.1694,0.2059,0.1923,0.00501,6.90E-05,9.533783319,114.5193854,0.011993347,0.1991,0.0297,17.53246753,157.5677488,157.8947368
E20,1,L,0.1886,0.2462,0.2394,0.00518,7.37E-05,13.42710169,122.3686582,0.012020423,0.2428,0.0542,28.73806999,173.1803841,173.0769231
E24,2,L,0.167,0.2178,0.2116,0.00501,6.36E-05,12.33280719,108.9792351,0.011437341,0.2147,0.0477,28.56287425,167.789463,166.6666667
E26,1,L,0.1384,0.1954,0.1932,0.00463,6.16E-05,10.01005537,129.6448033,0.010895406,0.1943,0.0559,40.39017341,181.0025228,175.3246753
E28,1,L,0.1472,0.1997,0.1922,0.00478,6.37E-05,12.24442353,111.6015343,0.011276051,0.19595,0.04875,33.11820652,187.4720508,192.8571429
E30,2,L,0.1317,0.1825,0.1812,0.0046,5.93E-05,9.359340297,126.2466584,0.011073511,0.18185,0.05015,38.07896735,173.5671467,171.9745223
E31,2,L,0.1395,0.1916,0.1837,0.00447,6.75E-05,8.793830066,113.6316331,0.011613312,0.18765,0.04815,34.51612903,165.2853888,156.9767442
E32,2,L,0.1008,0.1173,0.1105,0.00408,4.99E-05,5.506996709,97.0582307,0.00971362,0.1139,0.0131,12.99603175,178.9153333,170.8860759
E33,2,L,0.1213,0.1487,0.1429,0.00412,5.49E-05,7.215784865,108.9587516,0.010263607,0.1458,0.0245,20.19785655,181.2291797,182.4324324
E35,1,L,0.1565,0.1809,0.1779,0.00462,6.10E-05,9.084098435,103.47512,0.011058144,0.1794,0.0229,14.63258786,177.7999104,171.9745223
E36,1,L,0.1147,0.1649,0.1621,0.00443,5.97E-05,5.50891854,110.3432262,0.010571556,0.1635,0.0488,42.54577158,168.8096256,159.7633136
E37,1,L,0.0931,0.1363,0.1149,0.0041,4.82E-05,5.910787571,112.8148198,0.009637573,0.1256,0.0325,34.90870032,190.3046672,177.6315789
E39,2,L,0.148,0.2004,0.1927,0.00441,6.37E-05,12.90914894,99.7696493,0.011240465,0.19655,0.04855,32.80405405,180.5935748,170.8860759
E41,1,L,0.1258,0.1942,0.1844,0.00425,5.55E-05,8.98612494,116.7746759,0.010386695,0.1893,0.0635,50.47694754,186.7522862,187.5
E42,1,L,0.1371,0.2145,0.2002,0.00486,6.27E-05,11.52512135,117.3241931,0.010976483,0.20735,0.07025,51.23997082,187.341821,184.9315068
E44,1,L,0.12,0.1645,0.1498,0.0042,5.53E-05,6.414279198,114.960606,0.010263607,0.15715,0.03715,30.95833333,175.2167407,180
E45,1,L,0.1776,0.234,0.2203,0.00503,7.45E-05,11.95788486,106.85784,0.011731269,0.22715,0.04955,27.89977477,174.375746,173.0769231
E49,1,L,0.1182,0.1764,0.1617,0.00412,5.59E-05,10.27147324,114.7376486,0.010660253,0.16905,0.05085,43.02030457,189.7462826,184.9315068
E50,1,L,0.1392,0.2186,0.2098,0.00462,6.20E-05,11.15138536,113.623594,0.011113389,0.2142,0.075,53.87931034,180.6020805,181.2080537
E53,2,L,0.1909,0.2389,0.2347,0.00518,7.32E-05,13.2130245,115.1785061,0.012118467,0.2368,0.0459,24.0440021,171.7240512,170.8860759
E54,2,L,0.1274,0.1559,0.1509,0.00459,5.83E-05,8.387469002,123.8416658,0.01057021,0.1534,0.026,20.40816327,173.8039933,173.0769231
E56,2,L,0.0767,0.1062,0.0969,0.00386,4.01E-05,7.267504611,114.3376862,0.008691296,0.10155,0.02485,32.39895698,190.4684444,195.6521739
E59,1,L,0.1868,0.2469,0.2312,0.0051,7.81E-05,12.83237455,123.2093477,0.011769344,0.23905,0.05225,27.97109208,159.4832373,160.7142857
