avgPercLoad,deltaMetRate_dpl,load_order,predictedDeltaMetRate_dpl
41.09067850348765,0.04561051018627183,Light -> Heavy,0.05946532024279218
48.85969976905314,0.043266209631463284,Heavy -> Light,0.05023241020954144
35.313390313390336,0.07352532195517235,Light -> Heavy,0.0663312020922542
58.17180616740087,0.027662038809800126,Heavy -> Light,0.03916565705530805
40.79984239558706,0.07109103898581347,Heavy -> Light,0.05981095755370659
40.37037037037036,0.07564203842647053,Heavy -> Light,0.060321353449802155
54.49376375641965,0.019805727176651095,Light -> Heavy,0.043536739784813025
49.926210153482884,0.07294377322017312,Heavy -> Light,0.04896494110469908
49.66861081654295,0.02268069893274224,Light -> Heavy,0.0492710789593003
60.134730538922156,0.0536414146695116,Heavy -> Light,0.036832865896058706
66.70881502890174,0.006906107945641726,Light -> Heavy,0.029020050282333842
56.09714673913044,0.04531335802039913,Light -> Heavy,0.041631237106653424
67.99544419134395,0.02639688793199241,Heavy -> Light,0.027490986208891507
64.92831541218635,0.05039736515002948,Heavy -> Light,0.0311360430455708
42.46031746031747,0.03320577347393939,Heavy -> Light,0.05783760513760966
51.29843363561417,0.09426483919595759,Heavy -> Light,0.04733415448139719
37.364217252396166,0.05145717085558679,Light -> Heavy,0.06389394520050985
71.57802964254577,0.03970088793777777,Light -> Heavy,0.023233347051178146
59.962406015037594,0.012304286191425491,Light -> Heavy,0.037037660910921255
70.74324324324323,0.028848452573463964,Heavy -> Light,0.02422542925281963
79.76947535771066,0.01747553738317504,Light -> Heavy,0.013498416646805043
79.66812545587162,0.013354332700064152,Light -> Heavy,0.013618863546558838
55.45833333333333,0.07702724922448985,Light -> Heavy,0.04239041982763545
51.787725225225216,0.03513448534401886,Light -> Heavy,0.04675266743528389
63.89593908629441,0.0205412060474164,Light -> Heavy,0.03236294633384805
77.51436781609198,0.0077706398735562275,Light -> Heavy,0.01617844600125617
53.56207438449451,0.05526125415714288,Heavy -> Light,0.044643984038094726
51.51098901098901,0.041989697646082014,Heavy -> Light,0.04708154806022312
68.64406779661017,0.01631340774246402,Heavy -> Light,0.026720144787796506
50.160599571734465,0.049175096845355856,Light -> Heavy,0.04868638653038549
