avgPercLoad,load_order,deltaArcLen2_deltaLoad
41.09067850348765,Light -> Heavy,1.8759733124514765e-6
48.85969976905314,Heavy -> Light,2.4801139237084774e-6
35.313390313390336,Light -> Heavy,1.222747535936112e-6
58.17180616740087,Heavy -> Light,2.1344468327158317e-6
40.79984239558706,Heavy -> Light,2.547663225709397e-6
40.37037037037036,Heavy -> Light,1.3367247240441041e-6
54.49376375641965,Light -> Heavy,1.7310678092509475e-6
49.926210153482884,Heavy -> Light,1.8006965246002387e-6
49.66861081654295,Light -> Heavy,1.349980783887466e-6
60.134730538922156,Heavy -> Light,2.5163264984989805e-6
66.70881502890174,Light -> Heavy,5.953466351868586e-7
56.09714673913044,Light -> Heavy,2.410652843065823e-6
67.99544419134395,Heavy -> Light,1.457001513414683e-6
64.92831541218635,Heavy -> Light,1.8701258979841794e-6
42.46031746031747,Heavy -> Light,2.317033665745531e-6
51.29843363561417,Heavy -> Light,1.3237991511675695e-6
37.364217252396166,Light -> Heavy,2.6889833725497344e-6
71.57802964254577,Light -> Heavy,2.1576778512814774e-6
59.962406015037594,Light -> Heavy,1.6852057142033878e-6
70.74324324324323,Heavy -> Light,2.7649159761091253e-6
79.76947535771066,Light -> Heavy,1.7733435427766837e-6
79.66812545587162,Light -> Heavy,1.917231615913464e-6
55.45833333333333,Light -> Heavy,1.4064827812918885e-6
51.787725225225216,Light -> Heavy,1.0910809015640645e-6
63.89593908629441,Light -> Heavy,1.6618188170450053e-6
77.51436781609198,Light -> Heavy,2.4588700991104602e-6
53.56207438449451,Heavy -> Light,2.2243917070922897e-6
51.51098901098901,Heavy -> Light,1.0328961448957489e-6
68.64406779661017,Heavy -> Light,9.306848069501847e-7
50.160599571734465,Light -> Heavy,1.2770702990177794e-6
