deltaLoad,partialResid_deltaArcLen2,predictedLine_partialResid_deltaArclen2
0.07430000000000003,-2.9057209442948324e-6,-5.394511780201256e-6
0.10285000000000002,6.895750398096621e-5,5.338919483229785e-5
0.07685000000000003,-1.9561804618259686e-5,-1.441281773335646e-7
0.07755000000000001,1.8565457116479803e-5,1.2971535960026216e-6
0.06914999999999999,3.178392634179365e-5,-1.5998227684032186e-5
0.06120000000000003,-4.374381617572142e-5,-3.2367070681207866e-5
0.07494999999999999,-1.1083588532229709e-5,-4.05617870496056e-6
0.10975000000000001,4.4164449636940954e-5,6.759611516946924e-5
0.07894999999999996,-5.140079642391394e-6,4.179717142674994e-6
0.10545000000000004,7.740008474814786e-5,5.874252713326103e-5
0.07285,-6.878492759324565e-5,-8.380024024969232e-6
0.06764999999999999,1.978227198856967e-5,-1.9086688626895537e-5
0.07879999999999998,-1.5216037950102306e-5,3.870871048388693e-6
0.08484999999999998,2.125657748080032e-5,1.6327663517937545e-5
0.05940000000000001,5.597361499768387e-7,-3.607322381264393e-5
0.07545000000000002,-4.03251886393912e-5,-3.0266917240060514e-6
0.07114999999999999,2.6793522843525493e-5,-1.1880279760214379e-5
0.06660000000000002,1.2515416455781032e-5,-2.124861128689982e-5
0.046650000000000025,-5.476054505627284e-5,-6.232514182698239e-5
0.11229999999999996,1.1233581940089036e-4,7.284649877233683e-5
0.07369999999999999,-1.412489466645019e-5,-6.629896157346688e-6
0.07795000000000002,1.4009938322326498e-5,2.1207431807662055e-6
0.05879999999999996,-5.2365889935104095e-5,-3.7308608189789366e-5
0.08484999999999998,-1.6237099674697123e-5,1.6327663517937545e-5
0.04934999999999998,-5.004647199714369e-5,-5.676591212982845e-5
0.06580000000000003,1.8155834001946552e-5,-2.289579045642693e-5
0.11269999999999997,7.05871679289613e-5,7.367008835710041e-5
0.07925000000000001,-4.4031061144788166e-5,4.797409331247768e-6
0.05560000000000001,-9.305435913067365e-5,-4.389732486789775e-5
0.08289999999999997,-5.486220696340571e-6,1.2312664292215172e-5
