deltaLoad,partialResid_deltaFreq
0.07430000000000003,1463.552618092218
0.10285000000000002,-2032.728891858108
0.07685000000000003,4531.554073827212
0.07755000000000001,196.57268240940473
0.06914999999999999,7147.548487495932
0.06120000000000003,913.9934820883857
0.07494999999999999,1018.3189524537161
0.10975000000000001,1109.9589683970664
0.07894999999999996,-1019.4875014069426
0.10545000000000004,-4351.897692568721
0.07285,-1063.256312221386
0.06764999999999999,-4693.628431035176
0.07879999999999998,-2300.98930147047
0.08484999999999998,1802.135388509654
0.05940000000000001,299.576379305788
0.07545000000000002,-2823.377282892664
0.07114999999999999,4260.956177635392
0.06660000000000002,3052.495264063903
0.046650000000000025,947.2713140089255
0.11229999999999996,299.57637930578835
0.07369999999999999,593.6641525850944
0.07795000000000002,-4897.362134302026
0.05879999999999996,981.8415278964244
0.08484999999999998,883.3695958029718
0.04934999999999998,-1263.0543450605103
0.06580000000000003,-763.8276788714169
0.11269999999999997,-5064.201156172137
0.07925000000000001,1499.8847740668014
0.05560000000000001,-1138.9650866963616
0.08289999999999997,410.5055966112421
